SS-1 Robot Pose 
ID   x        y      
657  -6.7516 -25.1377 
658  -6.7086 -25.1318 
659  -6.6658 -25.1258 
660  -6.6228 -25.1196 
661  -6.5802 -25.1135 
662  -6.5371 -25.1071 
663  -6.4943 -25.1007 
664  -6.4516 -25.0941 
665  -6.4088 -25.0874 
666  -6.3661 -25.0807 
667  -6.3237 -25.0739 
668  -6.2806 -25.0668 
669  -6.2379 -25.0596 
670  -6.1953 -25.0524 
671  -6.1528 -25.0450 
672  -6.1102 -25.0375 
673  -6.0676 -25.0298 
674  -6.0253 -25.0220 
675  -5.9830 -25.0141 
676  -5.9405 -25.0060 
677  -5.8979 -24.9978 
678  -5.8555 -24.9894 
679  -5.8133 -24.9809 
680  -5.7710 -24.9721 
681  -5.7289 -24.9633 
682  -5.6866 -24.9544 
683  -5.6444 -24.9452 
684  -5.6022 -24.9359 
685  -5.5603 -24.9265 
686  -5.5179 -24.9167 
687  -5.4757 -24.9068 
688  -5.4337 -24.8967 
689  -5.3920 -24.8865 
690  -5.3496 -24.8758 
691  -5.3077 -24.8651 
692  -5.2661 -24.8542 
693  -5.2258 -24.8434 
694  -5.1828 -24.8315 
695  -5.1415 -24.8198 
696  -5.1008 -24.8081 
697  -5.0588 -24.7956 
698  -5.0182 -24.7833 
699  -4.9775 -24.7706 
700  -4.9358 -24.7574 
701  -4.8948 -24.7439 
702  -4.8545 -24.7304 
703  -4.8145 -24.7166 
704  -4.7735 -24.7021 
705  -4.7339 -24.6878 
706  -4.6929 -24.6725 
707  -4.6534 -24.6575 
708  -4.6131 -24.6417 
709  -4.5737 -24.6259 
710  -4.5340 -24.6096 
711  -4.4952 -24.5932 
712  -4.4563 -24.5765 
713  -4.4166 -24.5589 
714  -4.3781 -24.5414 
715  -4.3390 -24.5233 
716  -4.3008 -24.5051 
717  -4.2626 -24.4865 
718  -4.2244 -24.4674 
719  -4.1867 -24.4481 
720  -4.1491 -24.4285 
721  -4.1119 -24.4085 
722  -4.0745 -24.3880 
723  -4.0385 -24.3677 
724  -4.0030 -24.3474 
725  -3.9651 -24.3251 
726  -3.9283 -24.3029 
727  -3.8931 -24.2811 
728  -3.8581 -24.2590 
729  -3.8211 -24.2351 
730  -3.7859 -24.2117 
731  -3.7514 -24.1883 
732  -3.7169 -24.1645 
733  -3.6822 -24.1399 
734  -3.6484 -24.1153 
735  -3.6139 -24.0898 
736  -3.5801 -24.0642 
737  -3.5467 -24.0384 
738  -3.5136 -24.0122 
739  -3.4807 -23.9857 
740  -3.4481 -23.9588 
741  -3.4162 -23.9319 
742  -3.3842 -23.9045 
743  -3.3521 -23.8763 
744  -3.3207 -23.8482 
745  -3.2894 -23.8195 
746  -3.2584 -23.7907 
747  -3.2276 -23.7613 
748  -3.1980 -23.7326 
749  -3.1682 -23.7031 
750  -3.1383 -23.6729 
751  -3.1091 -23.6428 
752  -3.0787 -23.6109 
753  -3.0493 -23.5794 
754  -3.0213 -23.5487 
755  -2.9928 -23.5170 
756  -2.9648 -23.4853 
757  -2.9369 -23.4530 
758  -2.9085 -23.4195 
759  -2.8813 -23.3869 
760  -2.8542 -23.3539 
761  -2.8272 -23.3204 
762  -2.8007 -23.2870 
763  -2.7743 -23.2532 
764  -2.7484 -23.2193 
765  -2.7233 -23.1861 
766  -2.6973 -23.1512 
767  -2.6722 -23.1168 
768  -2.6470 -23.0818 
769  -2.6215 -23.0459 
770  -2.5968 -23.0105 
771  -2.5724 -22.9751 
772  -2.5492 -22.9408 
773  -2.5249 -22.9045 
774  -2.5007 -22.8679 
775  -2.4772 -22.8317 
776  -2.4542 -22.7960 
777  -2.4310 -22.7593 
778  -2.4085 -22.7233 
779  -2.3857 -22.6862 
780  -2.3630 -22.6489 
781  -2.3410 -22.6122 
782  -2.3190 -22.5749 
783  -2.2972 -22.5376 
784  -2.2758 -22.5002 
785  -2.2546 -22.4628 
786  -2.2335 -22.4251 
787  -2.2126 -22.3872 
788  -2.1920 -22.3493 
789  -2.1716 -22.3113 
790  -2.1522 -22.2745 
791  -2.1317 -22.2353 
792  -2.1118 -22.1965 
793  -2.0924 -22.1580 
794  -2.0735 -22.1204 
795  -2.0541 -22.0808 
796  -2.0351 -22.0417 
797  -2.0165 -22.0029 
798  -1.9980 -21.9637 
799  -1.9798 -21.9245 
800  -1.9618 -21.8852 
801  -1.9440 -21.8458 
802  -1.9264 -21.8063 
803  -1.9090 -21.7668 
804  -1.8918 -21.7271 
805  -1.8748 -21.6875 
806  -1.8579 -21.6475 
807  -1.8414 -21.6079 
808  -1.8248 -21.5676 
809  -1.8085 -21.5275 
810  -1.7924 -21.4874 
811  -1.7764 -21.4471 
812  -1.7607 -21.4069 
813  -1.7450 -21.3663 
814  -1.7295 -21.3260 
815  -1.7142 -21.2853 
816  -1.6991 -21.2450 
817  -1.6839 -21.2041 
818  -1.6689 -21.1633 
819  -1.6542 -21.1225 
820  -1.6396 -21.0818 
821  -1.6250 -21.0409 
822  -1.6107 -21.0004 
823  -1.5963 -20.9591 
824  -1.5824 -20.9190 
825  -1.5681 -20.8773 
826  -1.5543 -20.8362 
827  -1.5405 -20.7951 
828  -1.5269 -20.7540 
829  -1.5132 -20.7129 
830  -1.4996 -20.6720 
831  -1.4858 -20.6307 
832  -1.4722 -20.5896 
833  -1.4585 -20.5484 
834  -1.4448 -20.5073 
835  -1.4311 -20.4660 
836  -1.4173 -20.4248 
837  -1.4036 -20.3836 
838  -1.3898 -20.3422 
839  -1.3761 -20.3009 
840  -1.3623 -20.2596 
841  -1.3485 -20.2184 
842  -1.3347 -20.1768 
843  -1.3208 -20.1354 
844  -1.3070 -20.0942 
845  -1.2931 -20.0524 
846  -1.2792 -20.0112 
847  -1.2652 -19.9694 
848  -1.2513 -19.9279 
849  -1.2374 -19.8868 
850  -1.2233 -19.8448 
851  -1.2093 -19.8036 
852  -1.1952 -19.7617 
853  -1.1810 -19.7200 
854  -1.1669 -19.6786 
855  -1.1526 -19.6367 
856  -1.1384 -19.5954 
857  -1.1239 -19.5535 
858  -1.1095 -19.5121 
859  -1.0948 -19.4702 
860  -1.0799 -19.4288 
861  -1.0644 -19.3869 
862  -1.0487 -19.3455 
863  -1.0331 -19.3047 
864  -1.0170 -19.2624 
865  -1.0011 -19.2215 
866  -0.9845 -19.1795 
867  -0.9682 -19.1384 
868  -0.9513 -19.0971 
869  -0.9346 -19.0567 
870  -0.9173 -19.0155 
871  -0.9000 -18.9751 
872  -0.8826 -18.9349 
873  -0.8646 -18.8940 
874  -0.8468 -18.8539 
875  -0.8284 -18.8133 
876  -0.8102 -18.7736 
877  -0.7912 -18.7327 
878  -0.7726 -18.6934 
879  -0.7540 -18.6545 
880  -0.7339 -18.6132 
881  -0.7140 -18.5731 
882  -0.6943 -18.5338 
883  -0.6740 -18.4939 
884  -0.6535 -18.4544 
885  -0.6330 -18.4154 
886  -0.6118 -18.3758 
887  -0.5906 -18.3367 
888  -0.5692 -18.2978 
889  -0.5474 -18.2590 
890  -0.5254 -18.2204 
891  -0.5031 -18.1818 
892  -0.4806 -18.1434 
893  -0.4577 -18.1052 
894  -0.4348 -18.0676 
895  -0.4117 -18.0302 
896  -0.3880 -17.9924 
897  -0.3641 -17.9551 
898  -0.3393 -17.9170 
899  -0.3145 -17.8798 
900  -0.2896 -17.8430 
901  -0.2646 -17.8067 
902  -0.2393 -17.7707 
903  -0.2134 -17.7345 
904  -0.1873 -17.6988 
905  -0.1597 -17.6617 
906  -0.1330 -17.6268 
907  -0.1058 -17.5918 
908  -0.0783 -17.5571 
909  -0.0507 -17.5231 
910  -0.0216 -17.4880 
911   0.0070 -17.4543 
912   0.0361 -17.4208 
913   0.0654 -17.3878 
914   0.0952 -17.3549 
915   0.1265 -17.3213 
916   0.1572 -17.2891 
917   0.1881 -17.2574 
918   0.2188 -17.2266 
919   0.2503 -17.1958 
920   0.2832 -17.1643 
921   0.3157 -17.1339 
